id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,color,size,material
DL1,Chicken Biryani Combo,"Aromatic biryani with tender chicken, served with naan and soft drink. Perfect for lunch or dinner.",in stock,new,850 PKR,https://wild-bites.pk/menu/deals,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Basmati Rice
DL2,Chicken Karahi Combo,"Spiced chicken karahi served with naan, raita, and rice. A restaurant favorite.",in stock,new,1650 PKR,https://wild-bites.pk/menu/deals,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Wok-cooked
DL3,BBQ Platter Deal,"Mixed barbecue items with rice and sides. Perfect for sharing. Includes tikka, kebab, and grilled items.",in stock,new,2250 PKR,https://wild-bites.pk/menu/deals,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Grilled Meat
DL4,Family Biryani Deal,"2 portions of biryani, 2 naan, and 2 soft drinks. Great for families.",in stock,new,2999 PKR,https://wild-bites.pk/menu/deals,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Basmati Rice
DL5,2 Person Karahi Deal,"Chicken karahi, rice, naan, and raita for 2 people. Hearty and delicious.",in stock,new,2499 PKR,https://wild-bites.pk/menu/deals,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Wok-cooked
DL6,Burger & Fries Combo,"Juicy burger with crispy fries and a refreshing drink. Quick and tasty.",in stock,new,750 PKR,https://wild-bites.pk/menu/deals,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Grilled Meat
BR1,Chicken Biryani,"Aromatic basmati rice cooked with tender spiced chicken. A classic favorite.",in stock,new,650 PKR,https://wild-bites.pk/menu/biryani,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Basmati Rice
BR2,Beef Biryani,"Premium beef cooked with aromatic rice and spices. Rich and flavorful.",in stock,new,750 PKR,https://wild-bites.pk/menu/biryani,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Basmati Rice
BR3,Mutton Biryani,"Premium mutton biryani with aromatic spices. Best for mutton lovers.",in stock,new,950 PKR,https://wild-bites.pk/menu/biryani,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Basmati Rice
BR4,Chicken Pulao,"Simple and delicious pulao with tender chicken pieces.",in stock,new,600 PKR,https://wild-bites.pk/menu/biryani,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Basmati Rice
BR5,Chicken Fried Rice,"Indo-Chinese style fried rice with chicken, vegetables, and eggs.",in stock,new,650 PKR,https://wild-bites.pk/menu/biryani,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,White,,Rice
BR6,Plain Rice,"Steamed basmati rice, perfect as a side dish.",in stock,new,300 PKR,https://wild-bites.pk/menu/biryani,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,White,,Basmati Rice
KR1,Chicken Karahi,"Spiced chicken cooked in a traditional karahi. Aromatic and delicious.",in stock,new,1400 PKR,https://wild-bites.pk/menu/karahi,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/karhai-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Wok-cooked
KR2,Mutton Karahi,"Premium mutton cooked in traditional spices. A special dish for mutton lovers.",in stock,new,2100 PKR,https://wild-bites.pk/menu/karahi,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/karhai-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Wok-cooked
KR3,Beef Nihari,"Slow-cooked beef in aromatic gravy. Served with naan and pickles.",in stock,new,950 PKR,https://wild-bites.pk/menu/karahi,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/karhai-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Slow-cooked
KR4,Chicken Handi,"Creamy chicken cooked in a traditional handi. Rich and satisfying.",in stock,new,1450 PKR,https://wild-bites.pk/menu/karahi,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/karhai-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Creamy,,Wok-cooked
KR5,Butter Chicken,"Tender chicken in a creamy butter sauce. A restaurant specialty.",in stock,new,1300 PKR,https://wild-bites.pk/menu/karahi,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/karhai-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Creamy,,Wok-cooked
KR6,Daal Makhani,"Creamy lentil curry. Perfect vegetarian option.",in stock,new,650 PKR,https://wild-bites.pk/menu/karahi,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/karhai-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Lentils
